pontoId,error_loc,lat,lat_pred,lon,lon_pred
1035,99.23787865996616,-8.07211,-8.072808901377176,-34.894859000000004,-34.894300051596815
1048,31.670226064042698,-8.072014,-8.07173091678333,-34.897232,-34.897203351920666
1068,28.23776372174393,-8.07188,-8.071910580882307,-34.892014,-34.891759663813446
1086,19.855629526723064,-8.071735,-8.07173091678333,-34.897202,-34.897021895650425
1104,62.86916431899582,-8.071577,-8.071012260387434,-34.892117,-34.89212257635393
1105,62.450968437075154,-8.071572999999999,-8.071012260387434,-34.892105,-34.89212257635393
1140,187.26824860342768,-8.07129,-8.072629237278203,-34.900771999999996,-34.899743739704036
1142,9.042399893745186,-8.071269000000001,-8.07119192448641,-34.896996,-34.897021895650425
1186,21.16409650180493,-8.070982,-8.071012260387434,-34.891933,-34.89212257635393
1205,47.844295759335985,-8.070861,-8.070473268090513,-34.895939,-34.89575170175874
1232,105.43784852828753,-8.070766,-8.070652932189486,-34.900875,-34.89992519597428
1252,22.4707382446918,-8.070708999999999,-8.070652932189486,-34.892834,-34.89302985770513
1264,79.22392278436953,-8.070678,-8.070113939892565,-34.892773,-34.89321131397537
1269,144.45671364107815,-8.070661999999999,-8.07173091678333,-34.891777000000005,-34.89103383873248
1290,86.7151961843913,-8.070594,-8.071371588585382,-34.896706,-34.896658983109944
1291,117.03067449140248,-8.070587,-8.070473268090513,-34.893063,-34.894118595326574
1307,56.8195545129672,-8.070532,-8.070113939892565,-34.893097,-34.89339277024561
1315,46.216756413152645,-8.0705,-8.070832596288462,-34.900902,-34.90065102105524
1340,49.007211144993576,-8.070416,-8.070113939892565,-34.896801,-34.8964775268397
1358,117.00230620199373,-8.070338000000001,-8.071012260387434,-34.900921000000004,-34.90010665224452
1369,100.775252308807,-8.070271,-8.070293603991537,-34.893581,-34.89266694516465
1386,34.71251624749952,-8.070152,-8.070113939892565,-34.893806,-34.894118595326574
1392,183.86677100331366,-8.070141,-8.068496963001795,-34.889603,-34.8897636448408
1397,42.4846457064217,-8.070124,-8.070473268090513,-34.890696999999996,-34.89085238246224
1398,20.807706443267683,-8.070122999999999,-8.070293603991537,-34.89386,-34.893937139056334
1432,106.46647660011769,-8.070012,-8.070832596288462,-34.889534000000005,-34.889037819759835
1443,147.85318852895236,-8.069985,-8.069395283496668,-34.897453000000006,-34.89865500208259
1510,48.83466414728336,-8.069811,-8.069754611694616,-34.894558,-34.894118595326574
1530,48.466952267404274,-8.069752000000001,-8.069754611694616,-34.898006,-34.89756626446115
1538,89.33807434533018,-8.069718,-8.070473268090513,-34.898018,-34.89829208954211
1547,150.77783917724653,-8.069696,-8.068496963001795,-34.890578999999995,-34.89121529500272
1571,32.911813578740166,-8.069633,-8.069395283496668,-34.898296,-34.89847354581235
1591,104.64572826546588,-8.069597,-8.068676627100771,-34.897372999999995,-34.89756626446115
1618,116.84741370097936,-8.069528,-8.068496963001795,-34.890834999999996,-34.89103383873248
1631,97.54944222814066,-8.069493,-8.069934275793589,-34.890995000000004,-34.891759663813446
1634,50.7463387100414,-8.069486,-8.06903595529872,-34.895134000000006,-34.89520733294802
1635,70.08737962679834,-8.069481,-8.068856291199744,-34.889503000000005,-34.88958218857056
1660,28.766225356333862,-8.069409,-8.069215619397692,-34.895199,-34.89502587667778
1705,16.07571750218541,-8.069285,-8.069215619397692,-34.888077,-34.88794908213839
1755,79.20795890914239,-8.069179,-8.069395283496668,-34.899421999999994,-34.90010665224452
1757,84.65937354634926,-8.069173,-8.069754611694616,-34.88818,-34.888674907219354
1775,68.14459853693931,-8.069133,-8.069395283496668,-34.899547999999996,-34.90010665224452
1808,59.75258737493486,-8.069018,-8.068496963001795,-34.895882,-34.89575170175874
1813,44.7779747829498,-8.069004,-8.06903595529872,-34.890713,-34.89030801365152
1870,58.64466925159632,-8.068841,-8.069215619397692,-34.897396,-34.897021895650425
1875,80.04333813489824,-8.068833,-8.068137634803847,-34.896118,-34.89593315802898
1878,7.624641956169537,-8.068831,-8.068856291199744,-34.891151,-34.89121529500272
1889,78.35076374799495,-8.068806,-8.068137634803847,-34.896156,-34.89593315802898
1892,38.484837951762586,-8.068787,-8.06903595529872,-34.888977000000004,-34.889219276030076
1930,188.71567415050515,-8.068676,-8.067239314308978,-34.897205,-34.89629607056946
1952,52.16916498163935,-8.068629,-8.068317298902823,-34.898483,-34.89883645835283
1991,56.19501221598074,-8.068567,-8.06903595529872,-34.889408,-34.889219276030076
2006,20.940553783272108,-8.068521,-8.068496963001795,-34.896652,-34.896840439380185
2027,78.0849225061811,-8.068457,-8.06903595529872,-34.899055,-34.89865500208259
2067,34.74827775551437,-8.068199,-8.067957970704875,-34.89196,-34.891759663813446
2077,21.778309986014055,-8.06813,-8.068137634803847,-34.890324,-34.89012655738128
2081,63.8429323131853,-8.068097999999999,-8.067957970704875,-34.900124,-34.899562283433795
2083,50.86741176482252,-8.068089,-8.068137634803847,-34.890404,-34.88994510111104
2106,97.76042838542104,-8.067981,-8.068676627100771,-34.892307,-34.89284840143489
2163,117.43964868198361,-8.0673,-8.066340993814105,-34.893856,-34.894300051596815
2217,72.03738930876212,-8.066978,-8.066340993814105,-34.893822,-34.893937139056334
2219,85.66857009996944,-8.066977,-8.067239314308978,-34.88995,-34.889219276030076
2253,79.81222830496544,-8.066782,-8.066161329715133,-34.894844,-34.894481507867056
2326,118.35761195565145,-8.066256,-8.067059650210002,-34.889378,-34.888674907219354
2365,53.310176654259585,-8.065928999999999,-8.065802001517184,-34.88839,-34.888856363489595
2374,152.23676145953917,-8.065864999999999,-8.067059650210002,-34.888077,-34.88740471332767
2382,46.915658388101974,-8.065833,-8.066161329715133,-34.892208000000004,-34.891941120083686
2392,78.23111997164665,-8.065823,-8.066161329715133,-34.891319,-34.891941120083686
2399,76.04107382154453,-8.06582,-8.066340993814105,-34.891132,-34.891578207543205
2440,59.70661395137108,-8.065792,-8.06526300922026,-34.8904,-34.89048946992176
2444,190.87728281533325,-8.065791,-8.064185024626415,-34.890427,-34.89103383873248
2450,61.91590060466449,-8.065789,-8.066340993814105,-34.890377,-34.89030801365152
2465,52.17011726832866,-8.065699,-8.066161329715133,-34.892563,-34.89248548889441
2486,361.0763473178015,-8.065569,-8.063466368230518,-34.896976,-34.894481507867056
2501,23.39748877497628,-8.065456,-8.065442673319236,-34.892818,-34.89302985770513
2512,19.58492385788702,-8.065391,-8.065442673319236,-34.89286,-34.89302985770513
2527,51.845331771598715,-8.065246,-8.065083345121288,-34.892952,-34.89339277024561
2541,97.23921112559033,-8.065111,-8.064544352824363,-34.885826,-34.886497431976466
2580,13.650892632288373,-8.06484,-8.06472401692334,-34.885086,-34.88504578181454
2637,113.37458701044108,-8.064176,-8.064544352824363,-34.889271,-34.88831199467887
2639,46.3856051745471,-8.064171,-8.063825696428466,-34.897076,-34.896840439380185
2644,190.6089169655031,-8.064124000000001,-8.064544352824363,-34.89716,-34.89883645835283
2665,18.667290724153688,-8.063993,-8.063825696428466,-34.89447,-34.894481507867056
2699,2.630424383282968,-8.063821,-8.063825696428466,-34.894141999999995,-34.894118595326574
2707,46.786676546326724,-8.063761,-8.063825696428466,-34.886078000000005,-34.886497431976466
2714,43.904871923381606,-8.063728999999999,-8.063646032329494,-34.886108,-34.886497431976466
2744,252.08437423092795,-8.063561,-8.061310399042828,-34.895317,-34.8955702454885
2754,35.08664472207493,-8.063526,-8.063825696428466,-34.894943,-34.89484442040754
2781,238.94068769613452,-8.063214,-8.064185024626415,-34.897265999999995,-34.899199370893314
2819,92.932795419418,-8.062757000000001,-8.063466368230518,-34.897285,-34.896840439380185
2844,27.816046381834663,-8.062394,-8.062568047735649,-34.887768,-34.88794908213839
2859,33.57507485189072,-8.062325999999999,-8.062029055438725,-34.887821,-34.88776762586815
2866,25.355318651451235,-8.062255,-8.062029055438725,-34.88792,-34.88794908213839
2889,80.27760835768146,-8.061551,-8.061669727240776,-34.902473,-34.90319140883861
2905,273.330558925384,-8.061223,-8.059154429855138,-34.904346000000004,-34.90300995256837
2953,56.99930779958523,-8.059342,-8.058974765756165,-34.906818,-34.90645762170294
